ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.38.5.45","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","291","FÁBIO MENDES DIAS LTDA ME","4153","socks4","73","1","2024-04-24T10:22:47.885Z","90","6185","6899"
"222.124.177.148","elite","AS7713","ID","Telekomunikasi Indonesia","408","PT. TELKOM INDONESIA","7497","socks5","4305","1","2024-04-24T10:22:47.889Z","94","6446","6845"
"67.43.236.20","elite","AS36666","CA","GloboTech Communications","85","Private Customer 1081-USD","16443","http","3888","35303","2024-04-24T10:22:47.880Z","99","76","77"
"185.14.149.225","elite","AS61233","PL","Enformatel Sp. z o.o.","96","Enformatel Sp. z o.o","4145","socks4","2509","2","2024-04-24T10:22:47.886Z","99","6959","6994"
"171.244.10.204","elite","AS38731","VN","VIETEL","339","Viettel Corporation","46515","socks5","4499","2","2024-04-24T10:22:47.487Z","94","136","145"
"175.229.79.45","elite","AS4766","KR","Korea Telecom","297","Kornet","999","socks4","542","1","2024-04-24T10:22:47.883Z","76","5216","6845"
"195.2.84.34","elite","AS48282","RU","Hosting technology LTD","49","Hosting technology LTD","23635","socks4","986","2","2024-04-24T10:22:47.878Z","99","142","143"
"147.135.36.162","elite","AS16276","US","OVH US LLC","194","OVH HIL","57752","socks5","4400","2","2024-04-24T10:22:47.891Z","100","6841","6842"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","29","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","72","4","2024-04-24T10:22:11.781Z","100","6942","6950"
"101.33.200.32","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","191","Tencent Cloud Computing (Beijing) Co., Ltd","8000","socks5","890","1","2024-04-24T10:22:11.973Z","84","5726","6792"
"85.214.118.98","elite","AS6724","DE","Strato AG","26","Strato AG","80","socks4","5208","2","2024-04-24T10:22:11.789Z","100","6774","6782"
"1.254.171.167","elite","AS9318","KR","SK Broadband Co Ltd","271","broadNnet","1080","socks4","68","2","2024-04-24T10:22:11.878Z","13","893","6918"
"183.88.214.58","elite","AS45629","TH","Triple T Broadband Public Company Limited","212","Triple T Broadband Public Company Limited","5678","socks4","3702","1","2024-04-24T10:22:11.883Z","88","6092","6892"
"103.59.200.26","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","140","NET 4 U Services PVT LTD","4145","socks4","1896","1","2024-04-24T10:22:11.874Z","99","6708","6762"
"138.2.103.61","elite","AS31898","SG","Oracle Corporation","311","Oracle Corporation","34029","socks5","372","1","2024-04-24T10:22:11.782Z","87","40","46"
"177.234.245.242","elite","AS52468","EC","Ufinet Panama S.A.","177","Negocios Y Telefonia Nedetel S.A","32213","socks4","4810","2","2024-04-24T10:22:11.778Z","100","174","174"
"37.25.127.85","elite","AS31272","UA","WildPark Co","60","WildPark Co","1080","socks4","71","1","2024-04-24T10:22:11.786Z","58","4005","6895"
"188.130.163.254","elite","AS60873","RU","Alliance Communications Ltd","75","UTEKTV","4153","socks4","72","5","2024-04-24T10:21:51.087Z","98","6778","6883"
"49.75.17.108","elite","AS4134","CN","Chinanet","205","Chinanet JS","44844","socks5","533","1","2024-04-24T10:21:51.180Z","61","4146","6839"
"167.71.184.82","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","37908","socks4","5096","1","2024-04-24T10:21:51.088Z","100","6801","6812"
"173.209.38.72","elite","AS36666","CA","GloboTech Communications","85","Web Hosting Canada","12028","socks4","72","1","2024-04-24T10:21:51.176Z","32","2162","6827"
"198.37.103.71","elite","AS397373","US","H4Y Technologies LLC","152","H4Y Technologies LLC","62220","socks4","5110","1","2024-04-24T10:21:51.091Z","100","6864","6873"
"106.52.240.130","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","203","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","1997","1","2024-04-24T10:21:51.173Z","79","5405","6868"
"185.169.181.25","elite","AS34984","TR","Ates Dc","86","Ibrahim MALA trading as Ates Dc","4145","socks4","66","1","2024-04-24T10:21:51.092Z","100","6914","6933"
"104.17.62.87","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","70","1","2024-04-24T10:21:50.491Z","100","6772","6772"
"187.193.48.9","elite","AS8151","MX","UNINET","193","UNINET","8080","socks4","1319","1","2024-04-24T10:21:50.777Z","30","2055","6921"
"85.242.190.63","elite","AS3243","PT","PT Comunicacoes S.A","53","PT Comunicacoes S.A.","5156","socks5","3314","1","2024-04-24T10:21:50.591Z","91","6266","6877"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","162","Broban  PVT Ltd.","1080","socks4","73","1","2024-04-24T10:21:50.778Z","99","6815","6874"
